Sector,Occupation,Skills,Tasks
Internet - Web,FTTH Designer / Projector,"['Mastery of the optical fiber sector', 'Proficiency in computer office tools and specialized software', 'Ability to work with more or less tight deadlines']","['To install fiber, plans and diagrams are essential. The FTTH designer/projector is the one in charge of these documents. Learn more about this job: its daily missions, training, salary, etc.', 'L', 'is the one who creates the plan and the instructions that allow the teams to move forward on the ground. As its name suggests, the FTTH designer/projector “draws”, “projects” the data concerning the land in question and allows the rest of the chain to directly visualize the finalized project before going on site.', 'uses many architectural and mapping software programs, as well as more office-related tools to illustrate all projects and integrate the instructions to follow during implementation. This is why the FFTH designer/projector stays much more often in front of his computer than in the field, unlike other fiber optic profiles. Often integrated into a team of several specialized FTTH designers/projectors, the FTTH designer/projector must collaborate with his teammates in order to produce accurate plans. These plans are generally created using digital software, but some prefer to draw certain diagrams traditionally. This professional must therefore master this specialized software but also have affinities with 3D modeling, which professionals are increasingly fond of. Upstream of the chain, he produces the plans associated with the project, sizes the network and enters all the information into the database of the operator or the company for which he works. He is also required to comply with the specifications of the many clients and take them into account throughout his missions.']"
Accounting - Management,Payroll Technician,"['Computer skills', 'Analytical and synthetic mindset', 'Rigor, curiosity', 'Sense of service and confidentiality', 'Good interpersonal skills']","[""The payroll technician uses and analyzes information related to one of the company's departments (payroll, financial, commercial, etc.) and synthesizes it. Discover their job: their missions, their training, their opportunities and their salary.""]"
Accounting - Management,Payroll Manager,"['Mastery of payroll software', 'Spirit of synthesis and analysis', 'Rigor, organization, reliability and confidentiality', 'Intellectual curiosity', 'Interpersonal skills']","[""The payroll manager is the specialist in the company's pay slip. To prepare these pay slips, he collects, analyzes and processes the information and elements relating to each employee of the company. Find out everything you need to know about his missions, skills, training, opportunities and salary."", 'The', 'is a specialist in administrative issues related to personnel management. He must be able to explain the lines of a pay slip to the employee, answer questions relating to remuneration. Aware of current social issues, he ensures the strict application of social law and labor law. To carry out his mission, the payroll manager masters the IT tools for payroll and personnel management.', 'In an accounting firm, the payroll manager performs the same tasks with a few exceptions. Since the firm has many clients, the payroll manager must be able to adapt to many collective agreements and take charge of the payroll of companies with a large workforce. Their adaptability (multiple sectors of activity, variety of clients, hundreds of payrolls to issue, etc.) and their know-how are then essential to carry out their mission.']"
Accounting - Management,Treasurer,"['Excellent knowledge of market finance and accounting', 'Mastery of IT tools', 'Rigor, precision, responsiveness', 'Sense of organization and negotiation', 'Good interpersonal skills and discretion', 'Good stress management']","['Managing collections and payments is the main mission of the treasurer. Find out everything you need to know about the job of treasurer: the missions, the training to follow, the opportunities and the salary upon hiring.']"
Internet - Web,Full stack developer,"['Mastery of computer languages', 'Creative', 'Rigorous', 'Organized']","['The Full Stack Developer takes care of the', 'fully functional, using a range of technologies and programming languages. This versatility allows him to work on diverse and varied missions, at different levels of the site design. The Full Stack developer can intervene on the entire site or focus on certain aspects. In other words, he is able to adapt to projects of all kinds, thanks to his knowledge of all the layers of an application or a website.', 'Finally, the Full Stack developer ensures that the applications created are secure and protected against hacker attacks. To do this, his mission is to implement practices of', 'effective, such as data validation, protection against SQL injections and XSS (cross-site scripting) attacks, and securing passwords. He must constantly train and keep up to date with the latest technologies.', 'Security is a crucial aspect in web development: the Full Stack developer ensures that the applications created are', 'against hacker attacks. To do this, it is tasked with implementing effective security practices, such as data validation, protection against SQL injections and XSS (cross-site scripting) attacks, as well as', None]"
Accounting - Management,SME PMI management assistant,"['Proficiency in computer and telephone tools', 'Mastery of communication and information techniques', 'Interpersonal skills', 'Rigor, method, strength of proposal', 'Organizational skills and discretion']","['The management assistant assists the CEO of an SME (Small and Medium Enterprise) or an SMI (Small and Medium Industry). Their missions are varied, ranging from administrative management to internal communication of the company, including invoice reminders. Discover the missions, training and salary of this professional.', ""L'"", ""occupies a strategic and important position. Right-hand man of the head of the company, he ensures the administrative management of the company. His tasks are very varied. He can answer the phone and mail, prepare and classify his boss's files, place orders with suppliers, prepare VAT returns, ensure invoice reminders. He can also promote communication within the company, organize meetings, manage employee travel. His missions thus cover all the responsibilities of the head of the company, from accounting management to the commercial positioning of the company."", 'He is the privileged contact of the business manager. In this capacity, he reports to him all the administrative and management problems encountered, and discusses with him the results, current contracts or even recruitment.', ""Depending on the size of the company, he may keep the company's accounts up to date, negotiate prices with suppliers and may even carry out the mission of the"", 'when it is necessary to follow up on unpaid invoices, or', 'when editing pay slips.']"
Economy,Middle and high school teacher,"['Mastery of the subject taught', 'Pedagogy and rigor', 'Sense of organization and contact', 'Very good written and oral expression']","['The teacher teaches a subject to students of different ages and in various structures: middle or high schools, private or public. Their missions, skills, training, opportunities, salary... Everything you need to know about the job of middle and high school teacher.']"
Accounting - Management,Chief Accountant,"['Mastery of accounting techniques and software', 'Financial analysis (budget forecasts, etc.)', 'Mastery of taxation and the accounting process (accounts, working capital management, etc.)', 'Supervision and management of a service', 'Rigor to ensure the accuracy of accounts', 'Establish dashboards', 'Optimize your schedule and manage your working time', 'Integrity (the chief accountant has access to sensitive financial information and is responsible for ensuring compliance with legal obligations)', 'Spirit of synthesis', 'Show initiative']","['The', 'within a company is essential for', 'of the latter as well as its', '. Discover his daily missions, the skills and training required to practice this profession, as well as his salary.', 'From the first year of the DCG, in certain establishments such as ICS Bégué, it is possible to follow the course in', None, 'continues Alexis Besson,']"
Accounting - Management,An accountant,"['Excellent command of accounting issues and software', 'Tax knowledge', 'Rigor and honesty', 'Organizational skills', 'Ability to work under pressure', 'Communication skills', 'Good team spirit']","['Characterized by his/her spirit of rigor and probity, the accountant manages all the financial aspects of the company. A specialist in budgetary issues, he/she is also responsible for the application of legal obligations in his/her field. Find out everything about the missions, opportunities and salary of the accountant.', 'First mission: the accountant checks the recording of commercial or financial data and centralizes them in order to establish the accounting statements (balances, operating accounts, balance sheets, etc.). These elements are necessary for the general accounting and financial management of the company. The nature and', 'vary greatly depending on the size of the company.', 'In a small business, the', 'are very diverse: he keeps the accounting books, pays suppliers, draws up pay slips, carries out the', 'clients, monitors banking and accounting operations, etc.', ""In large companies, he works within a team and can specialize. He is now required to have good IT expertise and real initiative skills. Improving accounting procedures or introducing new forecasting management tools are thus part of the accountant's missions."", 'In addition to basic accounting tasks, the', 'can provide strategic consulting, auditing,', ', tax management and financial planning. He can also certify the annual accounts of companies, provide more in-depth advice and take on more complex missions in accounting, auditing and financial consulting. Finally, to become a chartered accountant, you must obtain a diploma in chartered accountancy, moreover.']"
Accounting - Management,Payroll Manager,"['Proficiency in IT tools (payroll software, spreadsheets, etc.)', 'Mastery of labor law and social security law', 'Spirit of synthesis and analysis', 'Rigor, organization, reliability and confidentiality', 'Intellectual curiosity', 'Good interpersonal skills, ability to manage a team', 'Sense of discretion and respect for confidentiality']","[""His mission does not stop there. A true advisor, the payroll manager is able to provide information on payroll, answer employees' questions on"", None]"
Accounting - Management,Credit manager,"['Mastery of financial, accounting and commercial regulations', 'Commercial law skills', 'Taste for numbers, analytical skills', 'Sense of negotiation and interpersonal skills', 'Conflict management and team leadership', 'Rigor and diplomacy', 'English practice']","[""Improving and securing all of a company's cash flows is the mission of the credit manager. Find out everything you need to know about the job of credit manager: daily tasks, training to follow, salary and opportunities.""]"
Accounting - Management,Accounting Assistant,"['Proficiency in IT tools and accounting software', 'Taste for numbers', 'Rigor, precision, autonomy', 'Analytical mind', 'Knowing how to adapt', 'Interpersonal skills', 'Sense of responsibility and organization', 'Knowledge of ERP (Enterprise Resource Planning) recommended']","['A professional in numbers, the accounting assistant (or bookkeeper) participates under the authority of the accountant in keeping the accounts of one or more companies. He carries out the basic accounting tasks: entering and checking invoices, keeping purchase and sales books, bank reconciliation. Find out everything about his missions, his opportunities and his salary.', 'This position often constitutes a gateway to functions with', 'in the field of accounting. But it will be necessary to wait at least two years of experience for the accounting assistant to be entrusted with accounting, social and tax missions, particularly in accounting firms. In the meantime, the assistant will start with accounting entry.', 'Finally, in an accounting firm, the assistant will tend to move towards positions as an accounting assistant and then as a mission manager.']"
Accounting - Management,Administrative and Financial Director,"['Skills in general, analytical and public accounting', 'Knowledge of law, taxation, banking regulations', 'Mastery of accounting principles and financial standards', 'Leadership and team spirit', 'Sense of negotiation, communication and organization', 'Capacity for analysis and synthesis', 'Rigor, method, responsiveness', 'English practice']","['The administrative and financial director, also called CFO (Chief Financial Officer), ensures the good administrative and financial management of the company. Find all the information concerning this job: missions, studies and diplomas, salary and opportunities.']"
Economy,Economic Studies Officer,"['In-depth knowledge of economics and statistics', 'Proficiency in databases, statistical tools and software (Excel, SAS, SPSS, R or Python)', 'Strong analytical skills', 'Excellent oral and written communication skills', 'Be meticulous and attentive', 'English proficiency']","['The work of a', 'specialized in economics is segmented into several missions. It gathers economic data and analyzes them in order to establish', 'of the economic context. It therefore provides an important', 'from different sources of information: specialist media, economic reports or surveys.', 'The study manager is also responsible for:', 'for clients, local authorities or the general management of the professional organization for which he works. They contain recommendations based on economic analyses.']"
Economy,Circular Economy Consultant,"['and strength of proposal', 'and strategic planning', '']","['The missions of the circular economy consultant consist, firstly, in carrying out', ""to assess the impact of a company's activities on the environment, throughout the value chain. It examines production processes, waste management, use of natural resources and greenhouse gas emissions. It can thus"", '', None]"
Accounting - Management,Chartered accountant,"['Great intellectual rigor and moral rectitude', 'Mastery of tax laws', 'Management skills', 'Professional ethics and integrity', 'Interpersonal skills', 'Do you have a sense of leadership?', 'legal and social management', 'management and management control', 'finance, management et audit', 'accounting and auditing', 'information systems management', 'oral economics', 'professional relations', 'optional modern language test 2 (Spanish, German or Italian).']","['However, the', 'vary according to the clients. For craftsmen, traders, liberal professions, he can keep the accounts from A to Z. For a larger structure, having an accounting department, he checks and makes the annual accounts reliable.', 'The DSCG can be carried out in', 'on a professionalization contract (1 day at school/4 days at work) in this school; the costs of the training are then borne by the company. Please note that admission to DSCG is limited to holders of the', 'and certain diplomas such as the CCA master.']"
Accounting - Management,Internal controller,"['General knowledge of information systems', 'Critical analysis and synthesis skills', 'Pedagogy, teamwork', 'Sense of communication and conviction', 'Reliability and perseverance', 'Team spirit']","['The internal controller advises and supports the implementation of the means necessary for reliable management of accounting and financial activities, in compliance with the rules and deadlines. Quickly discover all of their missions, their training, the career opportunities and the salary offered upon hiring!']"
Accounting - Management,Auditor,"['Very good legal and accounting knowledge', 'Independence of mind', 'Straightforwardness, ethical qualities', 'Interpersonal skills', 'a Master 2 in accounting, management control or finance, followed by a three-year professional internship with an auditor,', 'a chartered accountant diploma (DEC), followed by a two-year internship with an auditor,', 'a master 2 from another sector, followed by obtaining the CPFCAC (Preparatory Certificate for the Functions of CAC) and 3 years of internship with an auditor. These three conditions must be met for non-holders of the DSCG, in order to obtain the certificate of aptitude for the functions of CAC (CAFCAC).', 'Legal, tax and social management,', 'Accounting and auditing,', 'Oral economics in English,', 'Finance,', 'Management and Management Control,', 'Information systems management,', 'Professional relations,', 'LV2 optional.']","['The statutory auditor (CAC), who is often also a chartered accountant, certifies the accounts of companies. He validates the accounting entries, ensures their regularity and veracity. He is a free observer, characterized by his independence of mind and his rectitude. Everything you need to know about the job of statutory auditor: missions, skills, training, opportunities, salary.', 'The auditor exercises a legal mission during a mandate lasting', '. He has a duty, under penalty of disciplinary or criminal sanctions, to reveal the', 'revealed during his investigation. At any time of the year, he can carry out the checks that he deems necessary.', 'Other missions: ensuring the protection of shareholders and playing a warning role in the event of difficulties in the company in order to make its managers face up to their responsibilities. Since the law', 'Statutory Auditor Pact or Action Plan for Business Growth and Transformation (2019), statutory auditors can also intervene in the analysis of cyber risks or issues related to CSR.', 'The Auditor is paid per assignment: remuneration varies greatly, depending on the company audited. Governed by the collective agreement for chartered accountants and auditors, the gross annual salary is over €40,000.']"
Economy,Internal Auditor,"['Capacity for analysis and synthesis', 'English proficiency', 'Sense of contact and listening', 'Discretion', 'Adaptability', 'Good resistance to stress']","[""The internal financial auditor tracks risks to improve the company's results. He or she thus provides a second perspective on the effectiveness of risk management and internal control systems. Find out everything about the job of internal financial auditor: its missions, skills, training, opportunities and salary!"", 'To achieve its mission, the', 'conducts interviews, meets with various employees of the company and analyses files. Its objective: to verify the consistency and compliance of accounting and financial information systems. The internal auditor spends almost half of his time in the field and the other half in his office, analysing and reporting the information collected in all departments (accounting, finance, sales, legal, purchasing, IT, etc.).']"
Economy,Business engineer,"['Managerial skills', 'Good manager', 'Listening, organization, rigor', 'Creativity, curiosity, dynamism', 'Autonomy, interpersonal skills and perseverance', 'Business skills', 'English proficiency', 'manage a complete complex sales cycle (from prospecting to loyalty), to pilot complex business,', 'to develop and implement tailor-made commercial strategies for high-end clients,', 'to lead sales teams and conduct complex negotiations.']","[""A business engineer analyzes the client's needs, proposes adapted global solutions and manages their deployment in compliance with deadlines, quality and costs. Their role requires them to perform certain tasks such as managing all aspects of their company's relationship with their clients. Learn all about the job of business engineer: their missions, skills, training, job opportunities and salary!"", 'The lessons are given by professionals in the field, in', ""at the rate of one week of class and three weeks per month in a company. Practical cases, role plays and simulations also punctuate the course to promote professional experience and practice. This is confirmed by Malaurie Casper, a former student in the Master's in Business Engineering in"", None, None]"
Economy,Economic Mission Officer,"['Knowledge of economics, local development, law and finance', 'Sense of negotiation and initiative', 'Interpersonal skills', 'Project management and management']","['The economic mission manager, or economic developer, is responsible for the economic development of a community or territory by promoting the creation of businesses or the growth of existing businesses. Discover all the information relating to this job: salary, training to follow, skills and daily missions!', 'To promote the economic health of its community, the', 'will design a strategy. For this, this', 'conducts field surveys and sectoral studies in order to determine the strengths and weaknesses of a municipality/region/department. It thus meets with numerous professionals and calls upon their expertise (chambers of commerce and industry (CCI), business incubators, financing organizations, etc.). The', 'ensures territorial and sectoral monitoring. Thanks to its research, it will propose a diagnosis and advise elected officials in their decision-making regarding reception systems, business support and sustainable development. On a daily basis,', ""helps future entrepreneurs in the realization of their project, but also business leaders already present in the territory in their development (preparing financing files, advice on commercial approaches and economic opportunities). Mobile, the economic mission manager can also promote the community's offer to prospects (companies) and develop strategic partnerships to stimulate economic activity. The economic mission manager also ensures the administrative and budgetary management of the projects for which he is responsible."", 'has a bac +5 level diploma, in the fields', 'et', '. The Masters in Regional Planning and Development specializing in the environment, project design, regional development, or Professions in studies, consulting and intervention specializing in engineering of local planning and development, or Applied Economics specializing in economic development of the public-private interface or Applied Economics specializing in economics of local planning and development, as well as the', None, ', and some', 'can be considered for', None, 'earns around €1,800 gross per month at the start of their career, not including bonuses and allowances, and around €4,000 gross per month at the end of their career.']"
Economy,Management controller,"['Solid accounting and financial training', 'Mastery of IT tools', 'Sense of organization and rigor', 'Negotiation skills', 'Interpersonal skills', 'Autonomy']","['The management controller is the specialist in business planning and management. His mission: to develop budget forecasts and set up control procedures. His tools: dashboards and indicators, carefully updated. Discover this profession in more detail and find all the information concerning the diplomas and skills required for a good integration into the profession, the salary, the opportunities and the prospects for development.', 'Parallel admissions are possible for candidates from the', '(Accounting and Management Diploma), from a', 'followed by a DCG or a professional license or a', "", or holders of a master's degree, for example.""]"
Economy,External auditor,"['Capacity for analysis and synthesis', 'Mobility (numerous regional, national and even international trips)', 'English proficiency', 'Sense of contact and listening', 'Adaptability', 'Good resistance to stress', 'Team spirit']","['Finance, law and accounting are the specialties of the external financial auditor. It is thanks to this expertise that he/she intervenes in companies, in order to evaluate their situation and control their accounts. Discover the missions of the external financial auditor, but also his/her training, skills, positions to be filled and salary.', ""L'"", 'handles account certification files (legal audits). Their job is to draw up a financial inventory of a structure within a given time frame. To successfully complete their mission, they will meet with the key players in the company that uses their services. This step is essential to understand its organization, the procedures in force and to detect the risks that could weigh on its financial situation.', ""The pace of work is demanding, the hours are not always regular. To carry out their missions, the auditor is very often at their clients' premises. You have to like traveling. Audit firms, large and small, are looking for thousands of young graduates every year. With a high turnover of junior profiles, there are many opportunities for motivated, rigorous and internationally-minded young people.""]"
Economy,Statistician,"['Taste for numbers', 'Logical, analytical and synthetic mind', 'Curiosity', 'Proficiency in IT (data processing software, word processing, spreadsheets, etc.) and English']","[""A statistician knows how to juggle numbers, but that's not all! He must highlight information that allows private companies or public bodies to make better decisions and predict developments in their sector. Close-up on a complete and promising profession! Everything about its missions, training, salary and opportunities.""]"
Internet - Web,Picking technician,"['Computer skills', 'Good interpersonal skills in order to establish a relationship of trust with customers and employees', 'Careful and rigorous', 'Responsiveness and adaptation to very different environments and housing']","['The picketer is required to travel regularly: he must go to the field in order to draw up a report to assess the feasibility of setting up a network. Discover all the information relating to the job of picket technician: his daily missions, his training, his opportunities...']"
Internet - Web,Cable puller,"['Expert in electricity and optical fiber', 'Organizational skills', 'Compliance with safety rules', 'Know how to adapt and adjust your use of equipment according to the type of installation and the environment']","[""Laying cable trays, laying ducts... These tasks hold no secrets for the cable puller who, under the advice and instructions of his team, lays the cable at the user's home every day. He must therefore pay attention to safety before starting work. Indeed, this professional must ensure his safety and that of the user and the rest of the team while following the plans of the FTTH (Fiber To The Home) designers/projectors.""]"
Internet - Web,FTTH network and maintenance technician,"['Network technical skills', 'Quick-witted, able to determine sources of breakdowns', 'Interpersonal skills', 'Taste for travel and long journeys on the road', 'Passion for new technologies']","['The network and maintenance technician has one mission: to connect users to each other and enable communication.', 'The', 'is a versatile technician whose missions range from customer relations to the proper implementation of any means of computer communication. He thus connects the entire connected population and allows users to virtually enter into contact with the world. This network and maintenance technician must therefore go into the field at the request of the customer and determine how to set up, administer or maintain a computer network in the home. He thus ensures all the communication logic of the home.']"
Internet - Web,Artificial Intelligence Engineer,"['Knowledge of computer science, machine learning algorithms and programming languages', 'Mastery of AI technologies (Data Science, Machine Learning, Deep Learning, cloud, business information systems)', 'Mastery of economics and management (project management, business management, marketing and finance, management, AI and Data law)', 'Master of Human Sciences', 'Ability to solve complex problems', 'Team spirit (working as a team)', 'Sense of contact', 'Versatility', 'Imagination and creativity', 'Power of proposal and decision-making']","['Integrating a human dimension into the development of technological products: this is the challenge of the engineer specializing in artificial intelligence (AI). Competent in computer science, economics/management and human sciences, this engineer is involved in the design of tools capable of reasoning and dialoguing with humans. Find out everything about their missions, training and salary.']"
Internet - Web,Web Ergonomist,"['Proficiency in XHTML, PHP and JavaScript languages', 'Mastery of Internet vocabulary and development tools', 'Great versatility', 'Analytical capacity', 'Psychological and listening sense']","['The ergonomist optimizes the interface of a website in order to guarantee access to the greatest number. Unlike the', 'who seeks to arouse emotion in the Internet user, the ergonomist focuses on the efficiency of an interface. Discover all the information relating to this profession on this Studyrama file: his salary, his training, his skills and his daily missions!', 'The role of the', 'is to improve the usability of interfaces (sites or applications), with a view to efficiency and profitability. To carry out his mission, this professional must detect the expectations of Internet users. The ergonomist thus carries out in-depth studies on their behavior, analyzes their navigation in order to understand their uses. Each element is reviewed: layout, site tree structure, graphic charter, navigation, etc. By putting himself in their shoes, the ergonomist can then think of new approaches in order to best meet their needs and, above all, make Internet users want to stay on the site. He also adapts the interface according to the needs of each: specific displays for the visually impaired, colors adapted for the color blind, etc. In short, he identifies user practices and seeks to make the experience on the site as efficient as possible. The', 'works closely with the web designer to ensure that the ergonomic design is mastered before moving on to the model. But he also communicates with developers, integrators, editorial managers, etc.']"
Internet - Web,Web Integrator,"['cutting, assembly and integration of pages in HTML/CSS, XHTML,', 'consistency between HTML-coded pages and graphic mockups,', 'compatibility between browsers (Firefox, Chrome, Safari, etc.) and other platforms (tablets, phones),', 'the integration of content and graphic effects.', 'Mastery of software specific to image processing and computer graphics', 'Creativity', 'Team spirit', 'Adaptability', 'Rigor and sense of organization', 'Versatility', 'Autonomy']","['The web integrator works alongside web designers and other members of the website creation team. Discover all the information relating to this job: their salary, training, skills and daily missions!', ""L'"", '(also called front-end developer) is responsible for bringing together the various elements essential to the operation of a site, making them compatible and quickly functional regardless of their original format and in compliance with specifications.']"
Internet - Web,Consultant SAAS,"['Computer skills', 'Cloud computing knowledge', 'Interest in new technologies', 'Manage a team', 'Good general knowledge']","['The SAAS (""Software as a Service"") consultant advises his client on cloud computing solutions (also called virtual computer data), in other words external servers that allow a company to store software and information in a virtual network. Discover all the information relating to this job: his salary, his training, his skills and his daily missions!']"
Internet - Web,Intervention technician,"['Good interpersonal skills and easy contact with customers', 'Taste for travel and long car journeys', 'Sense of camaraderie, team spirit']","['The intervention technician ensures the installation of optical fiber throughout the territory. Discover all his missions, his job opportunities, his training and his salary.', 'The', 'A fiber optic specialist is a professional whose entire mission takes place in the field and in direct contact with customers. He is the one who connects to the network and activates the device ordered by a customer.']"
Internet - Web,Functional analyst,"['Spirit of initiative and synthesis', 'Ability to lead a team', 'Good communication and listening skills', 'Customer relationship skills']","['Based on the analysis of the needs expressed by a client, the functional analyst functionally designs an application. Their daily missions, their skills, their opportunities... Find all the information relating to the job of functional analyst.']"
Internet - Web,Test and validation analyst,"['Be able to estimate and plan tests', 'Know how to define and implement test scenarios', 'Be able to define characteristics of software quality and the role of testing']","['Their role: to carry out test scenarios and record the results using their development and integration skills and testing platforms and tools. Do you want to become a test and validation analyst? Discover all the information relating to this job on this Studyrama profile: their salary, training, skills and daily missions!']"
