ID,Birth date,Birth place,Highschool graduation date,Highschool,Studies level,Degree,ESB entry date,Bac type,Current class,Semester 1 class,Degree level,Gender,Nationality,Class level,Previous class,Previous year result,Highschool graduation grade,Final score,Region
ID19,2005,Tunis,2024,Lycee Pere Blanc,0.0,LBC,2024,Bac Economie,1-LBC-8,1-LBC-8,1,F,TUNISIENNE,1,External,Admis(e),10.17,-1.0,Ariana
ID20,2004,Sfax,2023,Lycee Lycéc Mohamed Boudhina Hammamet,1.0,LSG,2023,Bac Economie,2-LSG-5,2-LSG-5,2,F,TUNISIENNE,2,1-LSG-5,Admis(e) - Bien,10.38,-1.0,Nabeul
ID21,2004,Tunis,2024,Lycee Cite El Khadhra,0.0,LSG,2024,Bac Economie,1-LSG-5,1-LSG-5,1,F,TUNISIENNE,1,External,Admis(e),11.12,-1.0,Ariana
ID22,2001,Gabès,2021,Lycee Gabès,1.0,LSG,2023,Bac Economie,3-LSG-1,3-LSG-1,3,F,TUNISIENNE,3,2-LSG-6,Admis(e) - Bien,13.58,-1.0,Gabès
ID23,2002,Tunis,2021,Lycee Rades,0.0,LBC,2021,Bac Sciences,3LBC-BIS-1,3LBC-BIS-1,3,F,TUNISIENNE,3,2-LBC-BIS1,Admis(e) - Bien,10.57,-1.0,Ben Arous
ID24,1999,Bongor,2021,Lycee De Bongor,3.0,BA,2021,Bac Sciences,1-BA-3,1-BA-3,1,M,TCHADIENNE,4,3-LSG-1,Admis(e) - Passable,11.0,-1.0,Foreign
ID25,2005,Menzah6,2024,Lycee El Wafa Cité La Gazelle,0.0,LSG,2024,Bac Economie,1-LSG-5,1-LSG-5,1,F,TUNISIENNE,1,External,Admis(e),9.9,-1.0,Ariana
ID26,2002,Gabes,2022,Lycee Gabes,0.0,LSG,2022,Bac Economie,3-LSG-5,3-LSG-5,3,F,TUNISIENNE,3,2-LSG-6,Admis(e) - Passable,9.52,-1.0,Gabès
ID27,2002,La Mannouba,2024,Lycee El Wafa  Ghazela,0.0,LSG,2024,Bac Economie,1-LSG-6,1-LSG-6,1,F,TUNISIENNE,1,External,Admis(e),11.59,-1.0,Ariana
ID28,2003,Zarzis,2022,Lycee Zarzis,0.0,LBC,2022,Bac Sciences,3LBC-BIS-1,3LBC-BIS-1,3,F,TUNISIENNE,3,2-LBC-BIS1,Admis(e) - Passable,11.18,-1.0,Médenine
ID29,2000,Kala Kebira,2018,Lycee Kalaa Kebira,3.0,BA,2024,Bac Math,1-BA-3,1-BA-3,1,M,TUNISIENNE,4,External,Admis(e),10.92,-1.0,Sousse
ID30,2001,Tunis,2021,Lycee Le Pere Blanc,3.0,MDSI,2021,Bac Economie,1-MDSI-2,1-MDSI-2,1,F,TUNISIENNE,4,3-LSG-2,Admis(e),10.0,-1.0,Tunis
ID31,2001,Ariana,2020,Lycee Ariana,0.0,LBC,2020,Bac Economie,2-LBC-2,2-LBC-2,2,M,TUNISIENNE,2,1-LBC-5,Admis(e) - Passable,10.57,-1.0,Ariana
ID32,2002,Tunis,2023,Lyceet Carthage Birsa,0.0,LBC,2024,Bac Economie,1-LBC-9,1-LBC-9,1,F,TUNISIENNE,1,External,Admis(e),11.83,-1.0,Tunis
ID33,2002,Zarzis,2022,Lycee De Zarzis,0.0,LSG,2022,Bac Sciences,3-LSG-1,3-LSG-1,3,M,TUNISIENNE,3,2-LSG-1,Admis(e) - Passable,10.0,-1.0,Tunis
ID34,2003,Tunis,2023,Lycee Tunis,0.0,LBC,2023,Bac Math,2-LBC-11,2-LBC-11,2,M,TUNISIENNE,2,1-LBC-1,Admis(e) - Passable,11.69,-1.0,Tunis
ID35,2000,Sfax,2019,Lycee Sfax,3.0,MKD,2023,Bac Economie,2-MKD-2,2-MKD-2,2,F,TUNISIENNE,5,1-MKD-2,Admis(e) - Bien,11.09,-1.0,Sfax
ID36,2003,Tunis,2022,Lycee Tunis,0.0,LBC,2022,Bac Economie,3-LBC-BI-2,3-LBC-BI-2,3,M,TUNISIENNE,3,2-LBC-BI-2,Admis(e) - Bien,10.48,-1.0,Tunis
ID37,2001,Tunis,2020,Lycee Tunis,3.0,MDSI,2023,Bac Economie,2-MDSI-4,2-MDSI-4,2,M,TUNISIENNE,5,1-MDSI-4,Admis(e) - Passable,10.61,-1.0,Tunis
ID38,2003,Menzah 6,2023,Lycee Menzah 9,0.0,LBC,2023,Bac Technique,1-LBC-12,1-LBC-12,1,M,TUNISIENNE,1,1-LBC-4,Redouble,10.0,-1.0,Tunis
ID39,2005,Kuwait,2005,Lycee Borj Cedria Ben Arous,0.0,LBC,2024,Bac Economie,1-LBC-2,1-LBC-2,1,M,TUNISIENNE,1,External,Admis(e),10.52,-1.0,Ben Arous
ID40,2003,Tunis,2024,Lycee Ibn Rachik Ezzaha,0.0,LSG,2024,Bac Economie,1-LSG-1,1-LSG-1,1,F,TUNISIENNE,1,External,Admis(e),11.54,-1.0,Ben Arous
ID41,2004,Ariana,2022,Lycee Ariana,0.0,LBC,2022,Bac Economie,3LBC-BIS-2,3LBC-BIS-2,3,M,TUNISIENNE,3,2-LBC-BIS2,Admis(e) - Passable,12.03,-1.0,Ariana
ID42,2003,Nkhilet,2022,Lycee Ariana Soghra,0.0,LSG,2022,Bac Economie,3-LSG-2,3-LSG-2,3,F,TUNISIENNE,3,2-LSG-6,Admis(e),11.25,-1.0,Ariana
ID43,2004,Bizerte,2023,Lycee Ras Jbal,0.0,LBC,2023,Bac Economie,2-LBC-8,2-LBC-8,2,M,TUNISIENNE,2,1-LBC-11,Admis(e) - Passable,9.55,-1.0,Bizerte
ID44,2002,Kairouan,2023,Lycee Tunis,0.0,LBC,2023,Bac Economie,2-LBC-8,2-LBC-8,2,M,TUNISIENNE,2,1-LBC-11,Admis(e) - Passable,10.0,-1.0,Tunis
ID45,2004,Tunis,2023,Lycee Mohamed Edachraoui Menzah 9,0.0,LBC,2024,Bac Economie,1-LBC-10,1-LBC-10,1,F,TUNISIENNE,1,External,Admis(e),10.44,-1.0,Ariana
ID46,2004,Tunis,2024,Lycee Lycé Privé El Amal,0.0,LBC,2024,Bac Informatique,1-LBC-7,1-LBC-7,1,M,TUNISIENNE,1,External,Admis(e),11.25,-1.0,Ben Arous
ID47,1998,La Marsa,2020,Lycee El Wafa,3.0,MDSI,2023,Bac Sciences,2-MDSI-5,2-MDSI-5,2,F,TUNISIENNE,5,2-DSI-A3-1,Admis(e) - Bien,10.0,-1.0,Tunis
ID48,2003,Soliman,2021,Lycee Soliman,3.0,BA,2021,Bac Economie,1-BA-6,1-BA-6,1,F,TUNISIENNE,4,External,Admis(e),11.47,-1.0,Nabeul
ID49,2001,La Marsa,2022,Lycee Tunis,1.0,LSG,2023,Bac Economie,2-LSG-5,2-LSG-5,2,F,TUNISIENNE,2,1-LSG-7,Admis(e) - Passable,11.0,-1.0,Tunis
ID50,1999,Kébili,2020,Lycee Ibn Sina Kébili,3.0,MDSI,2023,Bac Math,2-MDSI-6,2-MDSI-6,2,F,TUNISIENNE,5,2-DSI-A3-2,Admis(e) - Bien,11.0,-1.0,Kébili
ID51,2004,Tunis,2024,Lycee Ibn Abi Dhief La Manouba,0.0,LBC,2024,Bac Informatique,1-LBC-6,1-LBC-6,1,M,TUNISIENNE,1,External,Admis(e),9.44,-1.0,La Manouba
ID52,2002,Gabés,2021,Lycee Elhamma,0.0,LBC,2021,Bac Economie,2-LBC-1,2-LBC-1,2,M,TUNISIENNE,2,1-LBC-4,Admis(e) - Passable,11.84,-1.0,Gabès
ID53,2001,Gabes,2021,Lycee Tunis,3.0,MDSI,2021,Bac Economie,1DSI-AS2-1,1DSI-AS2-1,1,F,TUNISIENNE,4,1DSI-AS1-1,Admis(e),10.61,-1.0,Tunis
ID54,1998,Bizerte,2021,Lycee Bizerte,3.0,BA,2021,Bac Sciences,1-BA-1,1-BA-1,1,F,TUNISIENNE,4,3-LSG-1,Admis(e) - Bien,10.0,-1.0,Bizerte
ID55,2001,Tunis,2020,Lycee Habib Thameur Bizerte,3.0,BA,2021,Bac Sciences,1-BA-4,1-BA-4,1,F,TUNISIENNE,4,External,Admis(e),11.6,-1.0,Bizerte
ID56,2002,Tunis,2020,Lycee Tunis,3.0,MKD,2023,Bac Economie,2-MKD-2,2-MKD-2,2,F,TUNISIENNE,5,1-MKD-2,Admis(e) - Bien,10.61,-1.0,Tunis
ID57,2001,Tunis,2022,Lycee Ariana,0.0,LBC,2022,Bac Economie,3LBC-BIS-6,3LBC-BIS-6,3,M,TUNISIENNE,3,2-LBC-BIS6,Admis(e) - Passable,9.93,-1.0,Ariana
ID58,2003,Marsa,2022,Lycee Marsa,1.0,LSG,2022,Bac Economie,3-LSC-2,3-LSC-2,3,F,TUNISIENNE,3,2-LSC-2,Admis(e) - Bien,13.91,-1.0,Tunis
ID59,2003,Tunis,2023,Lycee Père Blanc,0.0,LBC,2023,Bac Economie,2-LBC-3,2-LBC-3,2,M,TUNISIENNE,2,1-LBC-6,Admis(e) - Missing credits,10.35,-1.0,Tunis
ID60,2001,Bizerte,2021,Lycee Habib Thameur Bizerte,3.0,MDSI,2021,Bac Economie,1-MDSI-2,1-MDSI-2,1,M,TUNISIENNE,4,3-LSG-5,Admis(e) - Passable,10.0,-1.0,Bizerte
ID61,2005,Tunis,2024,Lycee Menzah 6,0.0,LBC,2024,Bac Economie,1-LBC-12,1-LBC-12,1,M,TUNISIENNE,1,External,Admis(e),10.13,-1.0,Ariana
ID62,2004,Ezzahra,2024,Lycee Privee El Amal  Megrine,0.0,LBC,2024,Bac Economie,1-LBC-5,1-LBC-5,1,F,TUNISIENNE,1,External,Admis(e),11.03,-1.0,Ben Arous
ID63,2003,Zinder,2024,Lycee Niger,0.0,LBC,2024,Bac Math,1-LBC-14,1-LBC-14,1,M,NIGERIENNE,1,External,Admis(e),10.0,-1.0,Foreign
ID64,2003,Beni Khalled,2022,Lycee Beni Khalled,0.0,LSG,2023,Bac Sciences,2-LSC-1,2-LSC-1,2,F,TUNISIENNE,2,1-LSG-3,Admis(e) - Bien,13.31,-1.0,Nabeul
ID65,2001,Tunis,2020,Lycee Rue De Pecha,3.0,MKD,2024,Bac Economie,1-MKD-1,1-MKD-1,1,F,TUNISIENNE,4,External,Admis(e),10.62,-1.0,Tunis
ID66,2000,Nabeul,2019,Lycee Nabeul,3.0,MDSI,2023,Bac Technique,2-DSI-A3-1,2-DSI-A3-1,2,M,TUNISIENNE,5,1DSI-AS2-1,Admis(e) - Passable,11.8,-1.0,Nabeul
ID67,2002,Ariana,2021,Lycee Raoued,0.0,LSG,2021,Bac Economie,2-LSG-4,2-LSG-4,2,F,TUNISIENNE,2,1-LSG-7,Admis(e) - Passable,14.0,-1.0,Ariana
ID68,2004,Tunis,2023,Lycee Ariana,0.0,LSG,2023,Bac Economie,2-LSG-2,2-LSG-2,2,M,TUNISIENNE,2,1-LSG-2,Admis(e) - Missing credits,10.25,-1.0,Ariana
ID69,2003,Tunis,2022,Lycee Tunis,0.0,LBC,2022,Bac Economie,3LBC-BIS-7,3LBC-BIS-7,3,M,TUNISIENNE,3,2-LBC-BIS8,Admis(e) - Passable,11.46,-1.0,Ariana
ID70,2004,Fitouria-Italie,2023,Lycee Ksour Essaf Mahdia,0.0,LSG,2023,Bac Economie,2-LSG-5,2-LSG-5,2,F,TUNISIENNE,2,1-LSG-5,Admis(e) - Passable,9.72,-1.0,Mahdia
ID71,2002,Ariana,2021,Lycee Secondaie Carthage Byrsa,3.0,BA,2024,Bac Economie,1-BA-8,1-BA-8,1,F,TUNISIENNE,4,External,Admis(e),14.83,-1.0,Tunis
ID72,2003,Korbus,2021,Lycee Soliman,0.0,LBC,2021,Bac Economie,3-LBC-BI-2,3-LBC-BI-2,3,F,TUNISIENNE,3,2-LBC-BI-3,Admis(e) - Passable,12.13,-1.0,Nabeul
ID73,2003,Tunis,2023,Lycee Mohamed Slema Aousja,1.0,LBC,2024,Bac Economie,1-LBC-5,1-LBC-5,1,M,TUNISIENNE,1,External,Admis(e),9.83,-1.0,Bizerte
ID74,2001,Kelibia,2021,Lycee Abdelaziz Elkhouja  Kelibia,3.0,FIND,2024,Bac Sciences,1-FIND-1,1-FIND-1,4,F,TUNISIENNE,4,External,Admis(e),11.28,-1.0,Nabeul
ID75,2003,Sidi Bouzid,2022,Lycee Sidi Bouzid,0.0,LBC,2022,Bac Economie,3-LBC-BI-1,3-LBC-BI-1,3,M,TUNISIENNE,3,2-LBC-BI-1,Admis(e) - Passable,10.69,-1.0,Sidi Bouzid
ID76,2004,Tunis,2023,Lycee Ibn Abi Dhief,0.0,LBC,2024,Bac Economie,1-LBC-8,1-LBC-8,1,M,TUNISIENNE,1,External,Admis(e),10.54,-1.0,Tunis
ID77,1999,Bizerte,2019,Lycee De Bizerte,3.0,MDSI,2023,Bac Sciences,2-MDSI-1,2-MDSI-1,2,F,TUNISIENNE,5,1-MDSI-1,Admis(e) - Passable,10.0,-1.0,Bizerte
ID78,2004,Tunis,2023,Lycee Bardo,0.0,LBC,2023,Bac Economie,2-LBC-11,2-LBC-11,2,F,TUNISIENNE,2,1-LBC-1,Admis(e) - Passable,10.93,-1.0,Tunis
ID79,2002,Menzel Omor Al Jadida,2023,Lycee Jdaida,0.0,LBC,2024,Bac Economie,---,---,1,M,TUNISIENNE,1,External,Admis(e),11.0,-1.0,La Manouba
ID80,2003,Gafsa,2024,Lycee Gafsa,0.0,LSG,2024,Bac Economie,1-LSG-2,1-LSG-2,1,M,TUNISIENNE,1,External,Admis(e),10.01,-1.0,Gafsa
ID81,2003,Kébili,2022,Lycee Nabeul,0.0,LBC,2022,Bac Sciences,3LBC-BIS-3,3LBC-BIS-3,3,F,TUNISIENNE,3,2-LBC-BIS1,Admis(e),10.07,-1.0,Nabeul
ID82,2001,Tunis,2021,Lycee Tunis,3.0,BA,2021,Bac Economie,1-BA-7,1-BA-7,1,F,TUNISIENNE,4,External,Admis(e),10.61,-1.0,Tunis
ID83,2004,Djerba,2024,Lycee Ibn Arafa Djerba,0.0,LBC,2041,Bac Sciences,1-LBC-12,1-LBC-12,1,M,TUNISIENNE,1,External,Admis(e),10.78,-1.0,Médenine
ID84,2002,Djerba,2022,Lycee Ibn Arafa Djerba,0.0,LBC,2022,Bac Economie,3LBC-BIS-4,3LBC-BIS-4,3,M,TUNISIENNE,3,2-LBC-BIS4,Admis(e),9.46,-1.0,Médenine
ID85,2004,Sfax,2022,Lycee Hzag,0.0,LBC,2023,Bac Economie,2-LBC-10,2-LBC-10,2,M,TUNISIENNE,2,1-LBC-16,Admis(e) - Passable,10.41,-1.0,Sfax
ID86,1998,Boussalem,2020,Lycee Tunis,3.0,MDSI,2023,Bac Sciences,2-MDSI-6,2-MDSI-6,2,F,TUNISIENNE,5,2-DSI-A3-2,Admis(e) - Bien,15.0,-1.0,Tunis
ID87,2000,Tunis,2023,Lycee Ibn Khaldoun Rades,0.0,LBC,2023,Bac Economie,2-LBC-10,2-LBC-10,2,M,TUNISIENNE,2,1-LBC-13,Admis(e),10.0,-1.0,Ben Arous
ID88,2001,Maknassy,2023,Lycee Les Écoles Idéales,0.0,LBC,2023,Bac Economie,2-LBC-4,2-LBC-4,2,M,TUNISIENNE,2,1-LBC-15,Admis(e),10.7,-1.0,Ariana
ID89,2004,Tunis,2022,Lycee La Petite Ariana,0.0,LSG,2022,Bac Math,3-LSG-6,3-LSG-6,3,F,TUNISIENNE,3,2-LSG-2,Admis(e) - Bien,10.47,-1.0,Ariana
ID90,2006,Sfax,2024,Lycee Sidi Bouzid,0.0,LBC,2024,Bac Sciences,1-LBC-12,1-LBC-12,1,F,TUNISIENNE,1,External,Admis(e),10.0,-1.0,Sidi Bouzid
ID91,2000,Tunis,2019,Lycee Menzah 9,3.0,BA,2021,Bac Sciences,1-BA-6,1-BA-6,1,F,TUNISIENNE,4,External,Admis(e),10.89,-1.0,Ariana
ID92,2002,Tunis,2023,Lycee Marsa Saada Ali Douagi,0.0,LBC,2024,Bac Economie,1-LBC-8,1-LBC-8,1,F,TUNISIENNE,1,External,Admis(e),11.19,-1.0,Tunis
ID93,1999,Tunis,2020,Lycee Tunis,3.0,BA,2023,Bac Economie,2-BA-6,2-BA-6,2,M,TUNISIENNE,5,1-BA-6,Admis(e),10.61,-1.0,Tunis
ID94,2003,Kairouan,2022,Lycee Tunis,0.0,LBC,2022,Bac Sciences,3LBC-BIS-7,3LBC-BIS-7,3,F,TUNISIENNE,3,2-LBC-BIS8,Admis(e) - Bien,13.18,-1.0,Tunis
ID95,2005,Tunis,2024,Lycee Borj Cedria,0.0,LSG,2024,Bac Economie,1-LSG-1,1-LSG-1,1,M,TUNISIENNE,1,External,Admis(e),10.34,-1.0,Ben Arous
ID96,2003,Menzah 6,2022,Lycee Privé Pôle,0.0,LBC,2023,Bac Sciences,2-LBC-6,2-LBC-6,2,M,TUNISIENNE,2,1-LBC-9,Admis(e) - Passable,12.08,-1.0,Nabeul
ID97,2003,Bizerte,2024,Lycee Privée Phynix Tunis,0.0,LSG,2024,Bac Economie,1-LSG-7,1-LSG-7,1,F,TUNISIENNE,1,External,Admis(e),9.52,-1.0,Ariana
ID98,2003,Marsa,2022,Lycee Tunis,0.0,LBC,2022,Bac Sciences,3-LBC-BI-1,3-LBC-BI-1,3,F,TUNISIENNE,3,2-LBC-BI-3,Admis(e) - Bien,13.73,-1.0,Tunis
ID99,2000,Tunis,2021,Lycee El Mourouj 4,3.0,MDSI,2024,Bac Economie,1-MDSI-3,1-MDSI-3,1,F,TUNISIENNE,4,External,Admis(e),13.19,-1.0,Ben Arous
ID100,2001,Menzel Bouzelfa,2020,Lycee Menzel Bouzelfa,3.0,MKD,2023,Bac Sciences,2-MKD-1,2-MKD-1,2,M,TUNISIENNE,5,1-MKD-1,Admis(e) - Bien,10.47,-1.0,Nabeul
ID101,2005,Tunis,2024,Lycee Menzah 9,0.0,LSG,2024,Bac Economie,1-LSG-7,1-LSG-7,1,F,TUNISIENNE,1,External,Admis(e),10.54,-1.0,Tunis
ID102,2000,La Marsa,2019,Lycee La Marsa,0.0,LSG,2019,Bac Economie,3-LSG-4,3-LSG-4,3,M,TUNISIENNE,3,2-LSG-6,Admis(e) - Passable,13.41,-1.0,Tunis
ID103,1997,Tunis,2017,Lycee Ibn Abi Dhief Manouba,3.0,MKD,2023,Bac Sciences,2-MKD-2,2-MKD-2,2,F,TUNISIENNE,5,1-MKD-2,Admis(e) - Bien,11.46,-1.0,La Manouba
ID104,2005,Tunis,2024,Lycee L'Ideal,0.0,LBC,2024,Bac Economie,1-LBC-10,1-LBC-10,1,M,TUNISIENNE,1,External,Admis(e),10.21,-1.0,Ariana
ID105,2005,Tunis,2023,Lycee Ariana,0.0,LBC,2024,Bac Informatique,1-LBC-9,1-LBC-9,1,M,PALESTINIENNE,1,External,Admis(e),10.56,-1.0,Ariana
ID106,2002,Tunis,2021,Lycee Ariana,0.0,LBC,2023,Bac Sciences,2-LBC-11,2-LBC-11,2,F,TUNISIENNE,2,1-LBC-1,Admis(e) - Bien,15.83,-1.0,Ariana
ID107,2003,Tunis,2023,Lycee Ariana,0.0,LSG,2023,Bac Economie,1-LSG-5,1-LSG-5,1,M,TUNISIENNE,1,External,Admis(e),11.22,-1.0,Tunis
ID108,2003,Ariana,2024,Lycee Menzah 6,0.0,LBC,2024,Bac Economie,1-LBC-11,1-LBC-11,1,F,TUNISIENNE,1,External,Admis(e),11.72,-1.0,Ariana
ID109,1999,Tunis,2021,Lycee Mourouj 4,3.0,MKD,2021,Bac Sciences,1-MKD-1,1-MKD-1,1,F,TUNISIENNE,4,External,Admis(e),10.35,-1.0,Ben Arous
ID110,2001,Bizerte,2023,Grand Lycee Farhat Hached Bizerte,0.0,LBC,2023,Bac Technique,1-LBC-1,1-LBC-1,1,M,TUNISIENNE,1,1-LBC-1,Redouble,10.01,-1.0,Bizerte
ID111,2005,Beja,2024,Lycee Ibn El Haytham Beja,0.0,LSG,2024,Bac Sciences,1-LSG-5,1-LSG-5,1,F,TUNISIENNE,1,External,Admis(e),10.88,-1.0,Béja
ID112,2006,Tunis,2024,Lycee Megrine,0.0,LBC,2024,Bac Economie,1-LBC-7,1-LBC-7,1,M,TUNISIENNE,1,External,Admis(e),10.75,-1.0,Ben Arous
ID113,2001,Tunis,2020,Lycee Manouba,3.0,FIND,2023,Bac Math,2-FIND-1,2-FIND-1,2,F,TUNISIENNE,5,1-FIND-1,Admis(e) - Bien,10.45,-1.0,La Manouba
ID114,2003,Ben Gurden,2023,Lycee Bengurden,0.0,LBC,2023,Bac Economie,2-LBC-5,2-LBC-5,2,M,TUNISIENNE,2,1-LBC-8,Admis(e),11.09,-1.0,Médenine
ID115,1995,Tunis,2016,Lycee Raoued,0.0,LBC,2024,Bac Math,1-LBC-4,1-LBC-4,1,F,TUNISIENNE,1,External,Admis(e),9.09,-1.0,Ariana
ID116,2002,Tunis,2024,Lycee Raoued,0.0,LBC,2024,Bac Economie,1-LBC-5,1-LBC-5,1,F,TUNISIENNE,1,External,Admis(e),10.18,-1.0,Ariana
ID117,2001,Tunis,2021,Lycee Sadiki,3.0,BA,2021,Bac Economie,1-BA-6,1-BA-6,1,F,TUNISIENNE,4,3-LSG-1,Admis(e) - Passable,11.0,-1.0,Tunis
ID118,2004,Menzah6,2023,Lycee Cite Ghazela,0.0,LSG,2023,Bac Math,2-LSC-1,2-LSC-1,2,F,TUNISIENNE,2,1-LSG-1,Admis(e) - Bien,13.7,-1.0,Ariana
ID119,2000,Carthage,2020,Lycee Tunis,3.0,MDSI,2023,Autre Bac,2-MDSI-2,2-MDSI-2,2,M,TUNISIENNE,5,1-MDSI-2,Admis(e) - Passable,10.08,-1.0,Tunis
ID120,2001,Sfax,2020,Lycee 15 Novembre 1955 Sfax,3.0,MDSI,2023,Bac Sciences,1DSI-AS2-1,1DSI-AS2-1,1,M,TUNISIENNE,4,1DSI-AS1-1,Admis(e),12.85,-1.0,Sfax
ID121,2005,Tunis,2024,Lycee Menzah 6,0.0,LSG,2024,Bac Economie,1-LSG-7,1-LSG-7,1,F,TUNISIENNE,1,External,Admis(e),9.98,-1.0,Ariana
ID122,1999,Tunis,2020,Lycee Menzeh 7,3.0,CCA,2023,Bac Economie,2-MCCA-1,2-MCCA-1,2,M,TUNISIENNE,5,1-MCCA-1,Admis(e) - Passable,14.09,-1.0,Ariana
ID123,2003,Tunis,2021,Lycee Cité La Gazelle,3.0,BA,2024,Bac Economie,1-BA-8,1-BA-8,1,F,TUNISIENNE,4,External,Admis(e),13.74,-1.0,Ariana
ID124,2003,Tunis,2022,Lycee Le Bardo,0.0,LSG,2022,Bac Sciences,3-LSG-4,3-LSG-4,3,F,TUNISIENNE,3,2-LSG-4,Admis(e) - Bien,10.36,-1.0,Tunis
ID125,2002,Ezzahra,2023,Lycee Ibn Rachik Ezzahra,0.0,LSG,2023,Bac Sciences,2-LSG-4,2-LSG-4,2,F,TUNISIENNE,2,2-LSG-4,Redouble,10.0,-1.0,Tunis
ID126,2000,Sfax,2020,Lycee Mohamed Megdich Sfax,3.0,MDSI,2024,Bac Sciences,1-MDSI-2,1-MDSI-2,1,F,TUNISIENNE,4,External,Admis(e),11.77,-1.0,Sfax
ID127,2003,La Marsa,2024,Lycee Les Péres Blancs,0.0,LBC,2024,Bac Technique,1-LBC-12,1-LBC-12,1,F,TUNISIENNE,1,External,Admis(e),10.0,-1.0,Tunis
ID128,2001,Sfax,2020,Lycee Ariana,0.0,LBC,2020,Bac Economie,3-LBC-BI-1,3-LBC-BI-1,3,F,TUNISIENNE,3,2-LBC-BI-3,Admis(e) - Passable,10.05,-1.0,Ariana
